"Distance quakes/tectonic_plates","Distance uniform_law/tectonic_plates"
40764.9322128244,316729.706857106
174024.974657342,1306133.37682141
107715.069172127,846194.671006329
59608.6584060484,14459.8353142017
88694.6565381579,1603087.19657288
74105.6733153779,1721232.6498479
62184.2127631937,397249.259124472
29532.8962510322,74131.2029515961
377347.660268932,3075191.40990934
45734.6258808714,1258524.07653536
57584.6408331831,2201677.77946459
45488.8016657757,1700133.34860559
70788.5951041286,1619557.78045414
39381.7590774969,662629.376286803
50604.9244868906,1692037.6409174
205505.571858795,1361504.04742051
203777.540619143,756797.255818979
210003.851717698,1345547.96514216
140594.336153859,1726891.31848376
62159.1859577398,3142068.17872951
148195.208797914,157258.646856436
24526.0353155471,2141703.33507254
62575.6859517388,1619589.23946422
24025.6201015232,215914.26440629
70934.5857386388,1393780.04780783
41669.3754609774,3057068.18173969
665141.727375833,788890.28126714
155595.969545668,616086.617694179
82360.4232945935,2457969.44974044
71783.0360647355,605359.167524311
88407.5143800714,1950793.99365423
204742.302789352,239833.762428887
31952.029267007,756949.149717323
18871.4519355346,101489.884761492
202365.785154995,121360.355565953
37857.0202816032,1913766.28757531
238537.846791547,339806.400986786
90049.5475996494,2962953.78496961
66353.2024283814,384145.105118157
65412.6134102839,1726683.1955404
69286.0089136539,1649166.69965956
24580.4161132606,1757152.86979343
107746.289455463,656201.33302419
545701.608727439,2723126.5776406
233486.976093115,1915850.03382318
10722.9324727772,3216234.44872172
16753.5177079815,748359.665269055
64043.4878855983,1297431.98410592
54749.9699978151,1956133.65132764
364211.9079871,425752.206310896
17109.5394510122,106260.390706163
23019.708540711,315414.740657798
205712.313167254,512210.981269017
24498.8837506991,162883.345629008
85021.6838497983,32781.5995637466
123200.107392304,791091.924152521
51543.5092368206,2344789.24952803
53161.4251314644,731417.935169279
51729.1699864868,816542.392464066
32835.8742201275,382391.779846822
44805.4421027072,1084595.84304474
144353.879529594,413329.993976675
35211.3367145498,1111332.67836776
103514.554831664,228977.243119869
135793.549006267,361985.225334898
145348.430275331,325523.442506425
135288.918854826,15549.2053870439
436633.252140833,605160.157764246
45353.9077777656,523778.993105587
15638.6665978646,2040997.88241347
83248.0491476935,651634.603472711
15643.6812987266,533151.979604255
38629.8220942629,986913.57506477
24718.3945988811,1279416.75168916
91990.7312967249,804055.818672497
93046.9456150008,647484.306194415
65038.841299443,1032480.32095836
518423.195784804,109628.980036467
54275.6209102251,1384238.56439441
45422.3210449316,1650025.74170455
176430.956688337,2349946.22268476
148607.967394569,2236779.91841156
23715.2070360758,139754.162655736
70083.7426002857,1798068.26241603
66162.8331018882,406958.36226676
66130.865192254,330566.930320943
20823.4281446164,254212.855244926
31646.685167883,2990940.19371567
34683.3990851165,352749.247063135
26360.1318066445,1983976.88638792
35153.275356803,294840.666935775
36038.7055655907,2463465.72074121
51324.850089747,957918.964347044
46048.3513771205,1999869.1448216
30279.1098301822,1851810.3338746
58300.8299959324,2304740.3950621
202216.182272286,1175750.04719325
92608.9298329853,2436714.79665073
107349.705874569,639158.225521156
56717.0029867858,1502990.00188943
104659.811563981,79819.8992592825
23695.892316818,211121.78082982
122116.106409446,2633036.55968004
65685.8396479013,1075010.74501632
84592.1533038201,2424405.09737082
36123.3823031314,512713.228987768
534483.442294817,2259850.98069197
136580.158140753,1139524.73636773
133864.754094868,201258.982797491
335223.729398017,1000340.85940495
113440.302875627,1232155.00897957
90617.3455462092,91351.9874301659
425687.046972586,2207823.94536702
59004.7426691056,1930600.47993984
105059.784099086,941139.15123579
23646.9720563629,553077.076022789
194561.092991558,1567152.02071434
129934.347101422,2187429.86806351
12106.7334829315,359440.776235072
80920.4934981087,1883755.92173775
177640.938369308,802770.542233731
72821.3639581327,842944.447330456
52379.0369103525,1029765.60144954
159010.625480698,850186.527441392
32021.3522971014,1811599.02662561
48151.0670775856,1310080.77958492
161402.538468577,1639223.01024326
541413.28909759,795472.702314418
113942.242216579,872664.309472025
91683.8796040803,1416557.37500464
10552.9128787965,99902.0472839755
147365.478439986,1035047.46327318
143253.81723244,2371608.50746377
45485.9571749388,1000521.0446511
70342.7954373093,1031535.50608492
59313.1815241547,720803.845400269
29354.2782997698,589911.519455636
44148.7908077916,1315818.83178725
283309.550528905,1971630.75203938
63374.7331556435,1695737.62700419
123987.403487577,1219615.76375264
96178.3655701769,1771781.28203566
42471.8956344421,417676.143436287
92543.3473309825,1509285.88261013
65819.0978389108,88679.7000197281
72349.2912974493,708153.465744987
16841.5839234058,154097.296167095
19595.2446072259,684526.570775927
113006.491180157,1306632.32441373
18854.7615911306,35313.724504981
22874.7964142204,1377004.03773718
139880.606158381,48883.6758624665
28239.8930805991,370729.735464611
108978.829784433,3719339.54462481
22448.6538967932,905959.787796756
53145.4837254857,28158.4490702056
244912.129672988,2528142.35904596
769093.407755229,440608.547592795
34978.6848328232,929004.350051364
367652.730943841,903206.333043837
224052.822125686,1390824.98675612
13725.5043635157,1234609.45219356
75792.8509263287,137996.263915652
87393.7158905004,2360660.44342667
250569.713869411,791786.820229148
103865.547339527,1973665.77239414
13058.0035947075,1441849.00922653
31844.5214153098,935321.473665879
73344.9331555474,1349460.60301721
69077.98520685,1704684.68593154
146387.121638274,15823.161669094
155943.562841828,2340277.8248065
485036.801585485,1080714.82950968
480518.251416143,1402714.02279469
76401.1965283019,71419.1868414721
125743.704685563,588076.591695936
36922.0757787109,2162298.04222651
10757.6885669699,438653.9413448
65504.7551858232,236840.029049584
